dataset,k,L,method,params,tvd,outputsize
glove-100-angular,11,200,opt,"E2LSH(k=11, L=200, w=5.5)", 0.011434029137001084, 14.1
glove-100-angular,10,200,opt,"E2LSH(k=10, L=200, w=5.5)", 0.012672439398703461, 40.36
glove-100-angular,12,500,opt,"E2LSH(k=12, L=500, w=5.5)", 0.011223649565953744, 14.34
glove-100-angular,10,100,opt,"E2LSH(k=10, L=100, w=5.5)", 0.011444497238665372, 19.18
glove-100-angular,11,100,approx_degree,"E2LSH(k=11, L=100, w=5.5)", 0.05334321472971473, 7.4
glove-100-angular,9,100,approx_degree,"E2LSH(k=9, L=100, w=5.5)", 0.05602179488930971, 55.78
glove-100-angular,12,200,approx_degree,"E2LSH(k=12, L=200, w=5.5)", 0.05285654260651628, 5.82
glove-100-angular,11,500,approx_degree,"E2LSH(k=11, L=500, w=5.5)", 0.0681897468145746, 34.96
glove-100-angular,9,500,approx_degree,"E2LSH(k=9, L=500, w=5.5)", 0.06330728712563548, 246.24
glove-100-angular,9,200,approx_degree,"E2LSH(k=9, L=200, w=5.5)", 0.05728471679727047, 101.82
glove-100-angular,10,500,approx_degree,"E2LSH(k=10, L=500, w=5.5)", 0.05988362755258857, 96.5
glove-100-angular,12,100,approx_degree,"E2LSH(k=12, L=100, w=5.5)", 0.0322998354978355, 3.06
glove-100-angular,11,200,approx_degree,"E2LSH(k=11, L=200, w=5.5)", 0.055359959207439545, 14.1
glove-100-angular,10,200,approx_degree,"E2LSH(k=10, L=200, w=5.5)", 0.0657977412882416, 40.36
glove-100-angular,12,500,approx_degree,"E2LSH(k=12, L=500, w=5.5)", 0.05435709246522841, 14.34
glove-100-angular,10,100,approx_degree,"E2LSH(k=10, L=100, w=5.5)", 0.04999027005317777, 19.18
glove-100-angular,11,100,rank,"E2LSH(k=11, L=100, w=5.5)", 0.011120670135420136, 7.4
glove-100-angular,9,100,rank,"E2LSH(k=9, L=100, w=5.5)", 0.012819849002693425, 55.78
glove-100-angular,12,200,rank,"E2LSH(k=12, L=200, w=5.5)", 0.009839776047261009, 5.82
glove-100-angular,11,500,rank,"E2LSH(k=11, L=500, w=5.5)", 0.012111019662627715, 34.96
glove-100-angular,9,500,rank,"E2LSH(k=9, L=500, w=5.5)", 0.01262390193345103, 246.24
glove-100-angular,9,200,rank,"E2LSH(k=9, L=200, w=5.5)", 0.0126293833668463, 101.82
glove-100-angular,10,500,rank,"E2LSH(k=10, L=500, w=5.5)", 0.012551641820505206, 96.5
glove-100-angular,12,100,rank,"E2LSH(k=12, L=100, w=5.5)", 0.007002545454545452, 3.06
glove-100-angular,11,200,rank,"E2LSH(k=11, L=200, w=5.5)", 0.011448991211968747, 14.1
glove-100-angular,10,200,rank,"E2LSH(k=10, L=200, w=5.5)", 0.012416728733199994, 40.36
glove-100-angular,12,500,rank,"E2LSH(k=12, L=500, w=5.5)", 0.011162035761182791, 14.34
glove-100-angular,10,100,rank,"E2LSH(k=10, L=100, w=5.5)", 0.012026994492727039, 19.18
glove-100-angular,11,100,weighted_uniform,"E2LSH(k=11, L=100, w=5.5)", 0.019691808524808528, 7.4
glove-100-angular,9,100,weighted_uniform,"E2LSH(k=9, L=100, w=5.5)", 0.023572414501759925, 55.78
glove-100-angular,12,200,weighted_uniform,"E2LSH(k=12, L=200, w=5.5)", 0.01823531262680511, 5.82
glove-100-angular,11,500,weighted_uniform,"E2LSH(k=11, L=500, w=5.5)", 0.030815403952843105, 34.96
glove-100-angular,9,500,weighted_uniform,"E2LSH(k=9, L=500, w=5.5)", 0.04733323313380052, 246.24
glove-100-angular,9,200,weighted_uniform,"E2LSH(k=9, L=200, w=5.5)", 0.026867950253594564, 101.82
glove-100-angular,10,500,weighted_uniform,"E2LSH(k=10, L=500, w=5.5)", 0.0345232107425574, 96.5
glove-100-angular,12,100,weighted_uniform,"E2LSH(k=12, L=100, w=5.5)", 0.016179604617604617, 3.06
glove-100-angular,11,200,weighted_uniform,"E2LSH(k=11, L=200, w=5.5)", 0.01863241980133479, 14.1
glove-100-angular,10,200,weighted_uniform,"E2LSH(k=10, L=200, w=5.5)", 0.023524553248639092, 40.36
glove-100-angular,12,500,weighted_uniform,"E2LSH(k=12, L=500, w=5.5)", 0.02580338926027944, 14.34
glove-100-angular,10,100,weighted_uniform,"E2LSH(k=10, L=100, w=5.5)", 0.0222547817786832, 19.18
glove-100-angular,11,100,uniform,"E2LSH(k=11, L=100, w=5.5)", 0.11480499040590698, 7.4
glove-100-angular,9,100,uniform,"E2LSH(k=9, L=100, w=5.5)", 0.25119307309485284, 55.78
glove-100-angular,12,200,uniform,"E2LSH(k=12, L=200, w=5.5)", 0.0968502868444152, 5.82
glove-100-angular,11,500,uniform,"E2LSH(k=11, L=500, w=5.5)", 0.13505315477409227, 34.96
glove-100-angular,9,500,uniform,"E2LSH(k=9, L=500, w=5.5)", 0.26157388961740635, 246.24
glove-100-angular,9,200,uniform,"E2LSH(k=9, L=200, w=5.5)", 0.24849424303912243, 101.82
glove-100-angular,10,500,uniform,"E2LSH(k=10, L=500, w=5.5)", 0.19165471591336464, 96.5
glove-100-angular,12,100,uniform,"E2LSH(k=12, L=100, w=5.5)", 0.07001961294415655, 3.06
glove-100-angular,11,200,uniform,"E2LSH(k=11, L=200, w=5.5)", 0.11682080770468334, 14.1
glove-100-angular,10,200,uniform,"E2LSH(k=10, L=200, w=5.5)", 0.19201909644040277, 40.36
glove-100-angular,12,500,uniform,"E2LSH(k=12, L=500, w=5.5)", 0.12669043304178734, 14.34
glove-100-angular,10,100,uniform,"E2LSH(k=10, L=100, w=5.5)", 0.16481326784824554, 19.18
sift-128-euclidean,11,500,opt,"E2LSH(k=11, L=500, w=400)", 0.012543128991538685, 98.5
sift-128-euclidean,12,100,opt,"E2LSH(k=12, L=100, w=400)", 0.011924339922853654, 13.9
sift-128-euclidean,11,200,opt,"E2LSH(k=11, L=200, w=400)", 0.012724578697068271, 44.44
sift-128-euclidean,11,100,opt,"E2LSH(k=11, L=100, w=400)", 0.012320322437652681, 26.84
sift-128-euclidean,9,100,opt,"E2LSH(k=9, L=100, w=400)", 0.012669579074388749, 100.08
sift-128-euclidean,10,100,opt,"E2LSH(k=10, L=100, w=400)", 0.01247523273036401, 52.88
sift-128-euclidean,12,500,opt,"E2LSH(k=12, L=500, w=400)", 0.012409578999386883, 51.72
sift-128-euclidean,13,100,opt,"E2LSH(k=13, L=100, w=400)", 0.011489576709839865, 8.28
sift-128-euclidean,13,200,opt,"E2LSH(k=13, L=200, w=400)", 0.011862083786583783, 13.18
sift-128-euclidean,10,200,opt,"E2LSH(k=10, L=200, w=400)", 0.012486096478755006, 91.22
sift-128-euclidean,13,500,opt,"E2LSH(k=13, L=500, w=400)", 0.011929244119330553, 25.32
sift-128-euclidean,12,200,opt,"E2LSH(k=12, L=200, w=400)", 0.01174683860642709, 23.74
sift-128-euclidean,9,200,opt,"E2LSH(k=9, L=200, w=400)", 0.012521768351251345, 211.36
sift-128-euclidean,9,500,opt,"E2LSH(k=9, L=500, w=400)", 0.012575989726166945, 418.6
sift-128-euclidean,10,500,opt,"E2LSH(k=10, L=500, w=400)", 0.012634533327581994, 203.1
sift-128-euclidean,11,500,approx_degree,"E2LSH(k=11, L=500, w=400)", 0.066607594261803, 98.5
sift-128-euclidean,12,100,approx_degree,"E2LSH(k=12, L=100, w=400)", 0.041573783806899946, 13.9
sift-128-euclidean,11,200,approx_degree,"E2LSH(k=11, L=200, w=400)", 0.05736168471843116, 44.44
sift-128-euclidean,11,100,approx_degree,"E2LSH(k=11, L=100, w=400)", 0.04520528611776865, 26.84
sift-128-euclidean,9,100,approx_degree,"E2LSH(k=9, L=100, w=400)", 0.06430177270168566, 100.08
sift-128-euclidean,10,100,approx_degree,"E2LSH(k=10, L=100, w=400)", 0.05994126575482455, 52.88
sift-128-euclidean,12,500,approx_degree,"E2LSH(k=12, L=500, w=400)", 0.06017703767592129, 51.72
sift-128-euclidean,13,100,approx_degree,"E2LSH(k=13, L=100, w=400)", 0.03442413441821336, 8.28
sift-128-euclidean,13,200,approx_degree,"E2LSH(k=13, L=200, w=400)", 0.0420311207958708, 13.18
sift-128-euclidean,10,200,approx_degree,"E2LSH(k=10, L=200, w=400)", 0.05990281364905278, 91.22
sift-128-euclidean,13,500,approx_degree,"E2LSH(k=13, L=500, w=400)", 0.04962546070120702, 25.32
sift-128-euclidean,12,200,approx_degree,"E2LSH(k=12, L=200, w=400)", 0.04532410962673375, 23.74
sift-128-euclidean,9,200,approx_degree,"E2LSH(k=9, L=200, w=400)", 0.06596582574797655, 211.36
sift-128-euclidean,9,500,approx_degree,"E2LSH(k=9, L=500, w=400)", 0.07510172701540262, 418.6
sift-128-euclidean,10,500,approx_degree,"E2LSH(k=10, L=500, w=400)", 0.06921828370149877, 203.1
sift-128-euclidean,11,500,rank,"E2LSH(k=11, L=500, w=400)", 0.012568364978335037, 98.5
sift-128-euclidean,12,100,rank,"E2LSH(k=12, L=100, w=400)", 0.012156315536548369, 13.9
sift-128-euclidean,11,200,rank,"E2LSH(k=11, L=200, w=400)", 0.012405961817929129, 44.44
sift-128-euclidean,11,100,rank,"E2LSH(k=11, L=100, w=400)", 0.01227049396824814, 26.84
sift-128-euclidean,9,100,rank,"E2LSH(k=9, L=100, w=400)", 0.012389552950726811, 100.08
sift-128-euclidean,10,100,rank,"E2LSH(k=10, L=100, w=400)", 0.012655329591272196, 52.88
sift-128-euclidean,12,500,rank,"E2LSH(k=12, L=500, w=400)", 0.01247808647342908, 51.72
sift-128-euclidean,13,100,rank,"E2LSH(k=13, L=100, w=400)", 0.012122736357210036, 8.28
sift-128-euclidean,13,200,rank,"E2LSH(k=13, L=200, w=400)", 0.011571019240019242, 13.18
sift-128-euclidean,10,200,rank,"E2LSH(k=10, L=200, w=400)", 0.012704989393552024, 91.22
